otu_id,sample_id,Host,project_id,count,nreads,classification,run_id
NC_008724.1,SRR6337274,Human_and_other_vertebrates,soil,4.999999996,9.896008245,soil,SRR6337274
NC_008724.1,SRR6337276,Human_and_other_vertebrates,soil,2.000000001,4.631506529,soil,SRR6337276
NC_006559.1,SRR6765927,Ungulata,soil,1.000000001,1.24384982,soil,SRR6765927
NC_001457.1,SRR6960367,Human,soil,8,0.285724952,soil,SRR6960367
NC_024691.1,SRR7004413,Human,soil,1.000000004,10.79904153,soil,SRR7004413
NC_028921.1,SRR7004602,Ungulata,soil,1,0.434963802,soil,SRR7004602
NC_030447.1,SRR7006911,Human,soil,1.000000001,6.876789026,soil,SRR7006911
NC_039034.1,SRR7007034,Others,soil,1.000000004,12.742142,soil,SRR7007034
NC_007647.1,SRR7142645,Human_and_other_vertebrates,soil,19,4.137344538,soil,SRR7142645
NC_032475.1,SRR7142645,Human_and_other_vertebrates,soil,5.999999999,4.137344538,soil,SRR7142645
NC_024690.1,SRR7152998,Ungulata,soil,2,2.930548547,soil,SRR7152998
NC_030138.1,SRR7152998,Birds,soil,10,2.930548547,soil,SRR7152998
NC_030139.1,SRR7152998,Birds,soil,1.000000001,2.930548547,soil,SRR7152998
NC_024690.1,SRR7153001,Ungulata,soil,2,1.255160528,soil,SRR7153001
NC_030138.1,SRR7153001,Birds,soil,3,1.255160528,soil,SRR7153001
NC_036582.1,SRR7153004,Birds,soil,0.999999999,3.538517911,soil,SRR7153004
NC_028363.1,SRR7153006,Others,soil,3,1.413770738,soil,SRR7153006
NC_030139.1,SRR7153006,Birds,soil,6,1.413770738,soil,SRR7153006
NC_040344.1,SRR7153006,Birds,soil,4.999999999,1.413770738,soil,SRR7153006
NC_023987.1,SRR7153007,Birds,soil,1.000000001,3.405433714,soil,SRR7153007
NC_030139.1,SRR7153007,Birds,soil,10,3.405433714,soil,SRR7153007
NC_040344.1,SRR7153007,Birds,soil,17,3.405433714,soil,SRR7153007
NC_025736.1,SRR7153008,Others,soil,1,1.968094306,soil,SRR7153008
NC_030142.1,SRR7153008,Ungulata,soil,3,1.968094306,soil,SRR7153008
NC_030144.1,SRR7153008,Ungulata,soil,1,1.968094306,soil,SRR7153008
NC_030146.1,SRR7153008,Ungulata,soil,3,1.968094306,soil,SRR7153008
NC_005309.1,SRR7153009,Birds,soil,1.999999999,4.552719845,soil,SRR7153009
NC_026164.1,SRR7153009,Human_and_other_vertebrates,soil,1.000000002,4.552719845,soil,SRR7153009
NC_026168.1,SRR7153009,Human_and_other_vertebrates,soil,1.000000002,4.552719845,soil,SRR7153009
NC_030139.1,SRR7153009,Birds,soil,3,4.552719845,soil,SRR7153009
NC_030142.1,SRR7153009,Ungulata,soil,9.999999998,4.552719845,soil,SRR7153009
NC_030146.1,SRR7153009,Ungulata,soil,1.999999999,4.552719845,soil,SRR7153009
NC_026164.1,SRR7153010,Human_and_other_vertebrates,soil,1.000000001,2.489737708,soil,SRR7153010
NC_025734.1,SRR7153011,Birds,soil,3,1.080243171,soil,SRR7153011
NC_030135.1,SRR7153011,Ungulata,soil,1,1.080243171,soil,SRR7153011
NC_030138.1,SRR7153011,Birds,soil,6.000000001,1.080243171,soil,SRR7153011
NC_030141.1,SRR7153011,Birds,soil,1,1.080243171,soil,SRR7153011
NC_030144.1,SRR7153011,Ungulata,soil,3,1.080243171,soil,SRR7153011
NC_035460.1,SRR7153011,Human_and_other_vertebrates,soil,5,1.080243171,soil,SRR7153011
NC_025736.1,SRR7153012,Others,soil,5.999999999,3.37231869,soil,SRR7153012
NC_030139.1,SRR7153012,Birds,soil,1.999999999,3.37231869,soil,SRR7153012
NC_030146.1,SRR7153012,Ungulata,soil,4.999999998,3.37231869,soil,SRR7153012
NC_036582.1,SRR7153012,Birds,soil,5.999999999,3.37231869,soil,SRR7153012
NC_040344.1,SRR7153012,Birds,soil,4.999999998,3.37231869,soil,SRR7153012
NC_025734.1,SRR7153015,Birds,soil,9.000000001,3.173800516,soil,SRR7153015
NC_026165.1,SRR7153015,Human_and_other_vertebrates,soil,1,3.173800516,soil,SRR7153015
NC_030135.1,SRR7153015,Ungulata,soil,2,3.173800516,soil,SRR7153015
NC_030138.1,SRR7153015,Birds,soil,5.000000001,3.173800516,soil,SRR7153015
NC_030139.1,SRR7153015,Birds,soil,3,3.173800516,soil,SRR7153015
NC_030141.1,SRR7153015,Birds,soil,1,3.173800516,soil,SRR7153015
NC_030144.1,SRR7153015,Ungulata,soil,6.000000001,3.173800516,soil,SRR7153015
NC_035460.1,SRR7153015,Human_and_other_vertebrates,soil,1,3.173800516,soil,SRR7153015
AC_000017.1,SRR7153018,Human,soil,20,3.204829635,soil,SRR7153018
NC_030139.1,SRR7153018,Birds,soil,55,3.204829635,soil,SRR7153018
NC_030141.1,SRR7153019,Birds,soil,14,3.061242193,soil,SRR7153019
NC_030144.1,SRR7153019,Ungulata,soil,1.000000001,3.061242193,soil,SRR7153019
NC_025735.1,SRR7153020,Birds,soil,1.000000002,4.06419661,soil,SRR7153020
NC_030135.1,SRR7153020,Ungulata,soil,3.000000001,4.06419661,soil,SRR7153020
NC_030138.1,SRR7153020,Birds,soil,14,4.06419661,soil,SRR7153020
NC_030139.1,SRR7153020,Birds,soil,10,4.06419661,soil,SRR7153020
NC_030142.1,SRR7153020,Ungulata,soil,1.000000002,4.06419661,soil,SRR7153020
NC_030144.1,SRR7153020,Ungulata,soil,1.999999999,4.06419661,soil,SRR7153020
NC_030146.1,SRR7153020,Ungulata,soil,5.000000001,4.06419661,soil,SRR7153020
NC_030150.1,SRR7153020,Ungulata,soil,5.999999998,4.06419661,soil,SRR7153020
NC_040344.1,SRR7153020,Birds,soil,11,4.06419661,soil,SRR7153020
NC_025735.1,SRR7153021,Birds,soil,1.000000001,1.554975105,soil,SRR7153021
NC_030138.1,SRR7153021,Birds,soil,4,1.554975105,soil,SRR7153021
NC_030139.1,SRR7153021,Birds,soil,1.000000001,1.554975105,soil,SRR7153021
NC_030144.1,SRR7153021,Ungulata,soil,4,1.554975105,soil,SRR7153021
NC_030146.1,SRR7153021,Ungulata,soil,3,1.554975105,soil,SRR7153021
NC_030150.1,SRR7153021,Ungulata,soil,1.000000001,1.554975105,soil,SRR7153021
NC_035211.1,SRR7153021,Human,soil,1.000000001,1.554975105,soil,SRR7153021
NC_040344.1,SRR7153021,Birds,soil,6,1.554975105,soil,SRR7153021
NC_025738.1,SRR7153022,Ungulata,soil,3,3.935842535,soil,SRR7153022
NC_030138.1,SRR7153022,Birds,soil,3,3.935842535,soil,SRR7153022
NC_030141.1,SRR7153022,Birds,soil,0.999999999,3.935842535,soil,SRR7153022
NC_030142.1,SRR7153022,Ungulata,soil,3.999999999,3.935842535,soil,SRR7153022
NC_030144.1,SRR7153022,Ungulata,soil,3.999999999,3.935842535,soil,SRR7153022
NC_038494.1,SRR7153022,Human_and_other_vertebrates,soil,2.000000002,3.935842535,soil,SRR7153022
NC_040344.1,SRR7153022,Birds,soil,3,3.935842535,soil,SRR7153022
NC_025738.1,SRR7153023,Ungulata,soil,2,1.571515143,soil,SRR7153023
NC_029052.1,SRR7153023,Birds,soil,0.999999999,1.571515143,soil,SRR7153023
NC_030142.1,SRR7153023,Ungulata,soil,3,1.571515143,soil,SRR7153023
NC_030144.1,SRR7153023,Ungulata,soil,0.999999999,1.571515143,soil,SRR7153023
NC_030147.1,SRR7153023,Others,soil,0.999999999,1.571515143,soil,SRR7153023
NC_030138.1,SRR7153025,Birds,soil,1,0.662279693,soil,SRR7153025
NC_035460.1,SRR7153025,Human_and_other_vertebrates,soil,1,0.662279693,soil,SRR7153025
NC_036582.1,SRR7153025,Birds,soil,3,0.662279693,soil,SRR7153025
NC_025738.1,SRR7153028,Ungulata,soil,29,4.384373988,soil,SRR7153028
NC_026808.1,SRR7153028,Others,soil,14,4.384373988,soil,SRR7153028
NC_030139.1,SRR7153028,Birds,soil,6.000000001,4.384373988,soil,SRR7153028
NC_040344.1,SRR7153028,Birds,soil,14,4.384373988,soil,SRR7153028
NC_025738.1,SRR7153029,Ungulata,soil,1,0.082900652,soil,SRR7153029
NC_021312.1,SRR7153033,Birds,soil,43,6.92017442,soil,SRR7153033
NC_025738.1,SRR7153033,Ungulata,soil,0.999999998,6.92017442,soil,SRR7153033
NC_021312.1,SRR7153034,Birds,soil,9.000000003,7.883915811,soil,SRR7153034
NC_030142.1,SRR7153034,Ungulata,soil,20,7.883915811,soil,SRR7153034
NC_021312.1,SRR7153035,Birds,soil,1,0.160708027,soil,SRR7153035
NC_008724.1,SRR7153036,Human_and_other_vertebrates,soil,2.000000004,8.076516121,soil,SRR7153036
NC_018102.1,SRR7153036,Human_and_other_vertebrates,soil,3.000000001,8.076516121,soil,SRR7153036
NC_021312.1,SRR7153036,Birds,soil,3.000000001,8.076516121,soil,SRR7153036
NC_030142.1,SRR7153036,Ungulata,soil,207,8.076516121,soil,SRR7153036
NC_025738.1,SRR7153039,Ungulata,soil,1,0.044847741,soil,SRR7153039
NC_025735.1,SRR7153040,Birds,soil,0.999999998,3.72008375,soil,SRR7153040
NC_025736.1,SRR7153040,Others,soil,0.999999998,3.72008375,soil,SRR7153040
NC_025737.1,SRR7153040,Birds,soil,0.999999998,3.72008375,soil,SRR7153040
NC_025738.1,SRR7153040,Ungulata,soil,8.000000002,3.72008375,soil,SRR7153040
NC_026164.1,SRR7153040,Human_and_other_vertebrates,soil,4.999999999,3.72008375,soil,SRR7153040
NC_028363.1,SRR7153040,Others,soil,0.999999998,3.72008375,soil,SRR7153040
NC_030139.1,SRR7153040,Birds,soil,2.999999999,3.72008375,soil,SRR7153040
NC_030140.1,SRR7153040,Birds,soil,2.999999999,3.72008375,soil,SRR7153040
NC_030141.1,SRR7153040,Birds,soil,2,3.72008375,soil,SRR7153040
NC_030143.1,SRR7153040,Ungulata,soil,0.999999998,3.72008375,soil,SRR7153040
NC_030144.1,SRR7153040,Ungulata,soil,6.000000001,3.72008375,soil,SRR7153040
NC_030146.1,SRR7153040,Ungulata,soil,2,3.72008375,soil,SRR7153040
NC_038495.1,SRR7153040,Others,soil,0.999999998,3.72008375,soil,SRR7153040
NC_040344.1,SRR7153040,Birds,soil,0.999999998,3.72008375,soil,SRR7153040
NC_025735.1,SRR7153041,Birds,soil,0.999999999,1.590966906,soil,SRR7153041
NC_025738.1,SRR7153041,Ungulata,soil,3,1.590966906,soil,SRR7153041
NC_026164.1,SRR7153041,Human_and_other_vertebrates,soil,3,1.590966906,soil,SRR7153041
NC_028363.1,SRR7153041,Others,soil,0.999999999,1.590966906,soil,SRR7153041
NC_030139.1,SRR7153041,Birds,soil,2,1.590966906,soil,SRR7153041
NC_030141.1,SRR7153041,Birds,soil,2,1.590966906,soil,SRR7153041
NC_030144.1,SRR7153041,Ungulata,soil,8,1.590966906,soil,SRR7153041
NC_030146.1,SRR7153041,Ungulata,soil,0.999999999,1.590966906,soil,SRR7153041
NC_040344.1,SRR7153041,Birds,soil,0.999999999,1.590966906,soil,SRR7153041
NC_038496.1,SRR7153042,Human,soil,5,1.678546757,soil,SRR7153042
NC_025738.1,SRR7153043,Ungulata,soil,9.999999999,5.275553284,soil,SRR7153043
NC_026162.1,SRR7153043,Human_and_other_vertebrates,soil,1.000000001,5.275553284,soil,SRR7153043
NC_026164.1,SRR7153043,Human_and_other_vertebrates,soil,2.999999998,5.275553284,soil,SRR7153043
NC_030138.1,SRR7153043,Birds,soil,6,5.275553284,soil,SRR7153043
NC_030139.1,SRR7153043,Birds,soil,7.000000001,5.275553284,soil,SRR7153043
NC_030141.1,SRR7153043,Birds,soil,2.000000002,5.275553284,soil,SRR7153043
NC_030142.1,SRR7153043,Ungulata,soil,11,5.275553284,soil,SRR7153043
NC_030144.1,SRR7153043,Ungulata,soil,9.999999999,5.275553284,soil,SRR7153043
NC_030146.1,SRR7153043,Ungulata,soil,4.999999999,5.275553284,soil,SRR7153043
NC_030147.1,SRR7153043,Others,soil,4.999999999,5.275553284,soil,SRR7153043
NC_035460.1,SRR7533591,Human_and_other_vertebrates,soil,1.000000001,2.764397741,soil,SRR7533591
NC_008724.1,SRR7535303,Human_and_other_vertebrates,soil,1.000000004,9.684277671,soil,SRR7535303
NC_035460.1,SRR7535304,Human_and_other_vertebrates,soil,1.000000001,7.443885099,soil,SRR7535304
NC_036582.1,SRR7535304,Birds,soil,2.000000002,7.443885099,soil,SRR7535304
NC_036582.1,SRR7536466,Birds,soil,1.000000001,5.727277672,soil,SRR7536466
NC_036582.1,SRR7538188,Birds,soil,1.000000001,9.446390606,soil,SRR7538188
NC_036582.1,SRR7538189,Birds,soil,0.999999999,6.613009755,soil,SRR7538189
NC_035460.1,SRR7540947,Human_and_other_vertebrates,soil,0.999999996,10.4273028,soil,SRR7540947
NC_035460.1,SRR7540954,Human_and_other_vertebrates,soil,0.999999998,8.79945334,soil,SRR7540954
NC_035460.1,SRR7541278,Human_and_other_vertebrates,soil,0.999999998,5.419209704,soil,SRR7541278
NC_036582.1,SRR7541460,Birds,soil,1.000000001,7.097845354,soil,SRR7541460
NC_007647.1,SRR7962538,Human_and_other_vertebrates,soil,10,3.189239016,soil,SRR7962538
NC_001457.1,SRR7962731,Human,soil,2,7.445753755,soil,SRR7962731
NC_001457.1,SRR7962737,Human,soil,1.000000001,6.325984928,soil,SRR7962737
NC_001457.1,SRR7962741,Human,soil,3,7.302024713,soil,SRR7962741
NC_001457.1,SRR7962746,Human,soil,1.000000002,6.105215963,soil,SRR7962746
NC_004560.1,SRR7962749,Ungulata,soil,0.999999999,1.113849573,soil,SRR7962749
NC_001457.1,SRR7962751,Human,soil,2.000000001,8.129633117,soil,SRR7962751
NC_004500.1,SRR7976360,Human,soil,1,1.825780098,soil,SRR7976360
NC_007647.1,SRR7976360,Human_and_other_vertebrates,soil,2.000000001,1.825780098,soil,SRR7976360
NC_032475.1,SRR7976360,Human_and_other_vertebrates,soil,2.000000001,1.825780098,soil,SRR7976360
AC_000008.1,SRR8429092,Human_and_other_vertebrates,soil,5,1.711769938,soil,SRR8429092
AC_000017.1,SRR8429092,Human,soil,7,1.711769938,soil,SRR8429092
NC_001457.1,SRR8437389,Human,soil,1.999999998,8.382941619,soil,SRR8437389
NC_001457.1,SRR8437430,Human,soil,0.999999999,7.884652199,soil,SRR8437430
NC_001457.1,SRR8437431,Human,soil,1.000000002,8.53244892,soil,SRR8437431
NC_001457.1,SRR8437432,Human,soil,0.999999999,7.326623665,soil,SRR8437432
NC_001457.1,SRR8437433,Human,soil,3.000000002,7.679684502,soil,SRR8437433
NC_001457.1,SRR8437442,Human,soil,1.000000004,8.69348005,soil,SRR8437442
NC_001457.1,SRR8443477,Human,soil,1.000000003,8.156446476,soil,SRR8443477
NC_001457.1,SRR8443479,Human,soil,0.999999997,15.83961083,soil,SRR8443479
NC_001457.1,SRR8444445,Human,soil,1.000000002,6.715163729,soil,SRR8444445
NC_001457.1,SRR8444449,Human,soil,0.999999997,12.61600269,soil,SRR8444449
NC_001457.1,SRR8445152,Human,soil,0.999999996,9.637909858,soil,SRR8445152
NC_001457.1,SRR8445154,Human,soil,0.999999999,5.814667434,soil,SRR8445154
NC_001457.1,SRR8446418,Human,soil,1,6.726300159,soil,SRR8446418
NC_001457.1,SRR8446489,Human,soil,1.999999996,10.84899338,soil,SRR8446489
NC_004560.1,SRR8446489,Ungulata,soil,0.999999998,10.84899338,soil,SRR8446489
NC_001457.1,SRR8446755,Human,soil,0.999999999,7.522169804,soil,SRR8446755
NC_006494.1,SRR8446755,Human_and_other_vertebrates,soil,6.000000004,7.522169804,soil,SRR8446755
NC_001457.1,SRR8446777,Human,soil,3.999999999,12.66556229,soil,SRR8446777
